Knee Angle,Ankle Angle,Hip Angle,Initial Contact,Loading Response,Mid Stance,Terminal Stance,Pre Swing
180.13665889028027,180.13665889028027,0.5293165929698267,180.13665889028027,,,,
180.42345772288263,180.42345772288263,0.624363323860966,180.42345772288263,,,,
180.69606526708176,180.69606526708176,0.6701322945680228,180.69606526708176,,,,
180.80119521460614,180.80119521460614,0.6773827110727618,180.80119521460614,,,,
180.88437977821093,180.88437977821093,0.6993351478629871,180.88437977821093,,,,
180.8857998196748,180.8857998196748,0.781533561632169,180.8857998196748,,,,
180.88962083986905,180.88962083986905,0.8289883490614989,180.88962083986905,,,,
180.8111212163257,180.8111212163257,0.7957278718388288,180.8111212163257,,,,
180.75336543327745,180.75336543327745,0.7713084356739929,180.75336543327745,,,,
180.56354049053724,180.56354049053724,0.7315627067753666,180.56354049053724,,,,
180.55654973186392,180.55654973186392,0.7326761616506118,180.55654973186392,,,,
